date,arrivals,new_cases
2020-03-04,558,1
2020-03-05,585,0
2020-03-06,614,4
2020-03-07,488,0
2020-03-08,537,6
2020-03-09,601,5
2020-03-10,523,6
2020-03-11,544,9
2020-03-12,508,18
2020-03-13,566,19
2020-03-14,438,35
2020-03-15,104,16
2020-03-16,96,58
2020-03-17,96,61
2020-03-18,127,13
2020-03-19,105,104
2020-03-20,90,70
2020-03-21,52,111
2020-03-22,64,98
2020-03-23,65,115
2020-03-24,65,152
2020-03-25,70,150
2020-03-26,81,170
2020-03-27,51,168
2020-03-28,32,249
2020-03-29,29,224
2020-03-30,53,193
2020-03-31,53,256
2020-04-01,63,243
2020-04-02,56,392
2020-04-03,58,437
2020-04-04,28,244
2020-04-05,34,475
2020-04-06,44,311
2020-04-07,46,435
2020-04-08,43,357
2020-04-09,39,370
2020-04-10,46,380
2020-04-11,16,401
2020-04-12,9,318
2020-04-13,4,260
2020-04-14,46,268
2020-04-15,51,380
2020-04-16,51,336
2020-04-17,39,461
2020-04-18,21,363
2020-04-19,19,545
2020-04-20,38,306
2020-04-21,44,263
2020-04-22,68,313
2020-04-23,42,342
2020-04-24,44,381
2020-04-25,23,381
2020-04-26,12,344
2020-04-27,55,285
2020-04-28,46,316
2020-04-29,62,422
2020-04-30,51,237
2020-05-01,25,228
2020-05-02,16,270
2020-05-03,17,318
2020-05-04,46,313
2020-05-05,58,425
2020-05-06,46,309
2020-05-07,52,307
2020-05-08,58,319
2020-05-09,17,285
2020-05-10,24,345
2020-05-11,55,330
2020-05-12,59,595
2020-05-13,61,283
2020-05-14,63,411
2020-05-15,66,401
2020-05-16,22,241
2020-05-17,20,272
2020-05-18,51,356
2020-05-19,60,383
2020-05-20,65,471
2020-05-21,64,404
2020-05-22,51,476
2020-05-23,28,312
2020-05-24,28,395
2020-05-25,61,305
2020-05-26,68,443
2020-05-27,85,399
2020-05-28,69,352
2020-05-29,60,330
2020-05-30,21,416
2020-05-31,19,215
2020-06-01,98,379
2020-06-02,103,230
2020-06-03,100,292
2020-06-04,105,361
2020-06-05,95,362
2020-06-06,46,576
2020-06-07,47,575
2020-06-08,111,599
2020-06-09,102,400
2020-06-10,101,282
2020-06-11,67,359
2020-06-12,78,376
2020-06-13,39,440
2020-06-14,58,375
2020-06-15,112,396
2020-06-16,109,407
2020-06-17,137,506
2020-06-18,115,314
2020-06-19,127,301
2020-06-20,92,304
2020-06-21,90,311
2020-06-22,147,296
2020-06-23,142,300
2020-06-24,120,294
2020-06-25,126,298
2020-06-26,136,276
2020-06-27,84,319
2020-06-28,91,193
2020-06-29,136,247
2020-06-30,163,239
2020-07-01,240,382
2020-07-02,213,371
2020-07-03,280,259
2020-07-04,229,314
2020-07-05,272,231
2020-07-06,242,205
2020-07-07,263,257
2020-07-08,251,277
2020-07-09,247,262
2020-07-10,290,265
2020-07-11,237,305
2020-07-12,273,370
2020-07-13,261,299
2020-07-14,257,267
2020-07-15,302,264
2020-07-16,302,333
2020-07-17,366,353
2020-07-18,293,339
2020-07-19,321,358
2020-07-20,305,279
2020-07-21,317,399
2020-07-22,300,380
2020-07-23,339,418
2020-07-24,353,458
2020-07-25,282,584
2020-07-26,325,443
2020-07-27,327,337
2020-07-28,315,502
2020-07-29,301,512
2020-07-30,312,615
2020-07-31,361,657
2020-08-01,314,658
2020-08-02,353,548
2020-08-03,351,575
2020-08-04,377,680
2020-08-05,367,640
2020-08-06,360,726
2020-08-07,386,809
2020-08-08,336,843
2020-08-09,357,624
2020-08-10,341,619
2020-08-11,342,551
2020-08-12,356,715
2020-08-13,353,811
2020-08-14,398,832
2020-08-15,363,771
2020-08-16,385,594
2020-08-17,359,595
2020-08-18,357,597
2020-08-19,370,735
2020-08-20,373,767
2020-08-21,398,903
2020-08-22,357,900
2020-08-23,388,581
2020-08-24,370,548
2020-08-25,352,763
2020-08-26,369,729
2020-08-27,359,887
2020-08-28,402,791
2020-08-29,348,759
2020-08-30,398,631
2020-08-31,371,502
2020-09-01,331,550
2020-09-02,350,595
2020-09-03,334,612
2020-09-04,377,691
2020-09-05,327,567
2020-09-06,362,437
2020-09-07,335,302
2020-09-08,315,400
2020-09-09,332,421
2020-09-10,332,506
2020-09-11,385,594
2020-09-12,303,603
2020-09-13,369,502
2020-09-14,343,377
2020-09-15,291,605
2020-09-16,320,600
2020-09-17,314,837
2020-09-18,384,757
2020-09-19,318,1002
2020-09-20,346,910
2020-09-21,320,748
2020-09-22,312,711
2020-09-23,312,974
2020-09-24,311,1136
2020-09-25,347,1587
2020-09-26,291,1584
2020-09-27,328,1350
2020-09-28,304,1306
2020-09-29,284,1326
2020-09-30,326,1552
2020-10-01,304,1967
2020-10-02,341,2292
2020-10-03,268,2367
2020-10-04,314,1934
2020-10-05,296,2006
2020-10-06,278,2236
2020-10-07,285,3003
2020-10-08,282,4280
2020-10-09,316,4739
2020-10-10,261,5300
2020-10-11,293,4178
2020-10-12,269,4394
2020-10-13,246,5068
2020-10-14,266,6526
2020-10-15,292,8099
2020-10-16,295,7705
2020-10-17,244,9622
2020-10-18,273,8536
2020-10-19,261,7482
2020-10-20,234,9291
2020-10-21,256,10040
2020-10-22,264,12107
2020-10-23,283,13632
2020-10-24,228,13628
2020-10-25,257,11742
2020-10-26,285,10241
2020-10-27,245,16300
2020-10-28,256,18820
2020-10-29,243,20156
2020-10-30,271,21629
2020-10-31,223,21897
2020-11-01,239,17171
2020-11-02,268,15578
2020-11-03,204,19364
2020-11-04,215,24692
2020-11-05,198,27143
2020-11-06,255,27086
2020-11-07,184,27875
2020-11-08,223,24785
2020-11-09,228,21713
2020-11-10,171,25454
2020-11-11,146,25221
2020-11-12,168,22683
2020-11-13,224,24051
2020-11-14,111,25571
2020-11-15,170,21854
2020-11-16,203,20816
2020-11-17,123,19152
2020-11-18,176,19883
2020-11-19,175,23975
2020-11-20,190,22464
2020-11-21,84,24213
2020-11-22,141,17856
2020-11-23,191,15002
2020-11-24,103,32733
2020-11-25,149,15356
2020-11-26,166,16690
2020-11-27,181,17304
2020-11-28,98,15177
2020-11-29,139,11482
2020-11-30,168,5736
2020-12-01,115,9113
2020-12-02,170,13823
2020-12-03,154,14863
2020-12-04,180,13236
2020-12-05,103,12427
2020-12-06,148,9176
2020-12-07,181,4421
2020-12-08,120,8310
2020-12-09,148,12166
2020-12-10,151,13750
2020-12-11,186,13105
2020-12-12,129,11499
2020-12-13,163,8976
2020-12-14,191,4896
2020-12-15,152,6874
2020-12-16,184,12455
2020-12-17,243,11953
2020-12-18,304,11010
2020-12-19,221,11246
2020-12-20,259,8590
2020-12-21,305,4633
2020-12-22,197,7192
2020-12-23,217,12358
2020-12-24,147,13115
2020-12-25,88,9081
2020-12-26,123,4878
2020-12-27,200,3842
2020-12-28,202,3211
2020-12-29,153,7624
2020-12-30,185,12780
2020-12-31,93,13464
2021-01-01,104,10896
2021-01-02,178,7006
2021-01-03,245,5782
2021-01-04,243,4385
2021-01-05,166,7596
2021-01-06,177,14220
2021-01-07,164,12119
2021-01-08,239,8763
2021-01-09,171,10744
2021-01-10,216,9133
2021-01-11,203,4863
2021-01-12,137,5394
2021-01-13,136,9126
2021-01-14,147,9457
2021-01-15,172,7958
2021-01-16,117,7292
2021-01-17,163,5970
2021-01-18,188,3332
2021-01-19,113,4890
2021-01-20,134,6943
2021-01-21,146,7008
2021-01-22,177,6693
2021-01-23,88,6431
2021-01-24,127,4566
2021-01-25,139,2674
2021-01-26,80,4603
2021-01-27,115,6790
2021-01-28,129,7153
2021-01-29,167,6145
2021-01-30,84,5864
2021-01-31,119,4711
2021-02-01,154,2504
2021-02-02,91,4326
2021-02-03,136,6801
2021-02-04,127,6495
2021-02-05,157,6053
2021-02-06,80,5966
2021-02-07,108,4725
2021-02-08,114,2431
2021-02-09,105,3999
2021-02-10,135,6960
2021-02-11,135,7013
2021-02-12,157,6378
2021-02-13,84,6585
2021-02-14,118,5334
2021-02-15,147,2542
2021-02-16,93,5176
2021-02-17,115,8699
2021-02-18,141,9074
2021-02-19,155,8772
2021-02-20,80,8509
2021-02-21,127,7040
2021-02-22,165,3891
2021-02-23,124,6304
2021-02-24,133,12147
2021-02-25,154,12143
2021-02-26,172,11536
2021-02-27,73,12097
2021-02-28,137,10101
2021-03-01,161,4786
2021-03-02,153,7936
2021-03-03,164,15698
2021-03-04,162,15253
2021-03-05,193,15831
2021-03-06,95,14855
2021-03-07,136,13569
2021-03-08,172,6169
2021-03-09,123,9953
2021-03-10,153,17277
2021-03-11,136,21111
2021-03-12,158,18873
2021-03-13,105,21063
2021-03-14,131,17272
2021-03-15,170,10895
2021-03-16,123,14394
2021-03-17,150,25053
2021-03-18,147,27274
2021-03-19,177,25996
2021-03-20,107,26456
2021-03-21,133,21850
2021-03-22,147,14579
2021-03-23,131,16740
2021-03-24,129,30802
2021-03-25,146,34150
2021-03-26,185,35145
2021-03-27,116,31759
2021-03-28,165,29266
2021-03-29,197,16973
2021-03-30,158,20862
2021-03-31,188,32891
2021-04-01,185,35253
2021-04-02,219,30541
2021-04-03,128,28073
2021-04-04,117,22958
2021-04-05,152,9921
2021-04-06,134,8246
2021-04-07,177,14908
2021-04-08,156,27890
2021-04-09,223,28499
2021-04-10,142,24892
2021-04-11,178,21733
2021-04-12,180,12016
2021-04-13,127,13203
2021-04-14,155,21266
2021-04-15,138,21126
2021-04-16,190,17846
2021-04-17,138,15786
2021-04-18,176,12151
2021-04-19,187,7302
2021-04-20,152,9244
2021-04-21,172,13922
2021-04-22,158,12763
2021-04-23,191,10866
2021-04-24,129,9510
2021-04-25,171,7224
2021-04-26,164,3467
2021-04-27,135,5711
2021-04-28,181,8893
2021-04-29,183,8426
2021-04-30,207,6789
2021-05-01,144,6475
2021-05-02,179,4616
2021-05-03,154,2523
2021-05-04,141,2296
2021-05-05,181,3899
2021-05-06,169,6427
2021-05-07,214,6047
2021-05-08,160,4771
2021-05-09,204,3856
2021-05-10,180,2031
2021-05-11,151,3097
2021-05-12,201,4159
2021-05-13,187,3423
2021-05-14,221,3252
2021-05-15,156,2897
2021-05-16,200,2168
2021-05-17,196,1111
2021-05-18,160,1734
2021-05-19,211,2337
2021-05-20,226,2090
2021-05-21,260,1680
2021-05-22,176,1515
2021-05-23,219,1076
2021-05-24,198,559
2021-05-25,159,1006
2021-05-26,233,1263
2021-05-27,225,1202
2021-05-28,286,943
2021-05-29,196,776
2021-05-30,252,579
2021-05-31,243,333
2021-06-01,235,585
2021-06-02,270,659
2021-06-03,242,565
2021-06-04,318,319
2021-06-05,284,413
2021-06-06,339,312
2021-06-07,291,192
2021-06-08,239,401
2021-06-09,305,560
2021-06-10,328,378
2021-06-11,387,340
2021-06-12,296,236
2021-06-13,348,226
2021-06-14,364,139
2021-06-15,295,211
2021-06-16,339,242
2021-06-17,356,215
2021-06-18,439,190
2021-06-19,361,168
2021-06-20,437,133
2021-06-21,424,73
2021-06-22,370,190
2021-06-23,371,162
2021-06-24,395,144
2021-06-25,467,134
2021-06-26,372,99
2021-06-27,419,69
2021-06-28,431,51
2021-06-29,375,122
2021-06-30,416,101
2021-07-01,434,98
2021-07-02,496,97
2021-07-03,400,108
2021-07-04,440,55
2021-07-05,445,38
2021-07-06,405,95
2021-07-07,422,100
2021-07-08,422,93
2021-07-09,496,74
2021-07-10,406,85
2021-07-11,443,66
2021-07-12,457,44
2021-07-13,402,94
2021-07-14,430,87
2021-07-15,427,105
2021-07-16,506,90
2021-07-17,425,114
2021-07-18,456,69
2021-07-19,479,67
2021-07-20,434,103
2021-07-21,458,124
2021-07-22,469,122
2021-07-23,538,108
2021-07-24,443,118
2021-07-25,483,80
2021-07-26,477,74
2021-07-27,443,107
2021-07-28,476,138
2021-07-29,476,165
2021-07-30,519,156
2021-07-31,436,153
2021-08-01,478,90
2021-08-02,507,91
2021-08-03,450,164
2021-08-04,471,164
2021-08-05,479,176
2021-08-06,521,172
2021-08-07,443,180
2021-08-08,497,122
2021-08-09,504,64
2021-08-10,444,199
2021-08-11,465,196
2021-08-12,494,223
2021-08-13,555,194
2021-08-14,458,211
2021-08-15,509,148
2021-08-16,531,128
2021-08-17,445,215
2021-08-18,472,207
2021-08-19,490,196
2021-08-20,544,212
2021-08-21,453,222
2021-08-22,503,185
2021-08-23,512,107
2021-08-24,460,232
2021-08-25,468,233
2021-08-26,488,215
2021-08-27,563,254
2021-08-28,460,289
2021-08-29,513,203
2021-08-30,539,154
2021-08-31,478,285
2021-09-01,502,366
2021-09-02,497,376
2021-09-03,561,361
2021-09-04,460,388
2021-09-05,501,323
2021-09-06,520,182
2021-09-07,469,405
2021-09-08,509,531
2021-09-09,535,511
2021-09-10,568,529
2021-09-11,447,531
2021-09-12,518,476
2021-09-13,517,270
2021-09-14,475,536
2021-09-15,501,768
2021-09-16,497,724
2021-09-17,544,652
2021-09-18,448,796
2021-09-19,498,540
2021-09-20,545,364
2021-09-21,467,709
2021-09-22,454,880
2021-09-23,498,974
2021-09-24,534,812
2021-09-25,440,917
2021-09-26,491,643
2021-09-27,522,421
2021-09-28,434,976
2021-09-29,492,1235
2021-09-30,491,1205
2021-10-01,521,1361
2021-10-02,421,1344
2021-10-03,466,1090
2021-10-04,505,683
2021-10-05,407,1327
2021-10-06,456,2086
2021-10-07,461,2007
2021-10-08,525,1894
2021-10-09,395,2011
2021-10-10,456,1527
2021-10-11,478,903
2021-10-12,379,2121
2021-10-13,446,2640
2021-10-14,448,2999
2021-10-15,509,2770
2021-10-16,389,3235
2021-10-17,432,2521
2021-10-18,491,1536
2021-10-19,388,3930
2021-10-20,436,5560
2021-10-21,428,5591
2021-10-22,486,5716
2021-10-23,383,6277
2021-10-24,415,4727
2021-10-25,507,2953
2021-10-26,416,6263
2021-10-27,436,8366
2021-10-28,460,8382
2021-10-29,469,9403
2021-10-30,374,9806
2021-10-31,431,7147
